ImageId,Label
1,4
2,2
3,7
4,9
5,2
6,8
7,3
8,3
9,9
10,7
11,3
12,4
13,7
14,9
15,5
16,3
17,3
18,9
19,4
20,9
21,9
22,7
23,9
24,1
25,9
26,9
27,7
28,9
29,7
30,7
31,4
32,5
33,9
34,2
35,2
36,4
37,3
38,7
39,7
40,3
41,3
42,2
43,3
44,4
45,1
46,9
47,9
48,8
49,7
50,9
51,2
52,3
53,3
54,3
55,7
56,2
57,4
58,2
59,6
60,5
61,4
62,1
63,9
64,3
65,9
66,9
67,7
68,3
69,2
70,7
71,2
72,7
73,9
74,7
75,2
76,1
77,7
78,4
79,5
80,7
81,1
82,3
83,5
84,2
85,4
86,5
87,3
88,4
89,4
90,2
91,9
92,7
93,7
94,2
95,9
96,4
97,7
98,9
99,9
100,2
101,1
102,1
103,3
104,2
105,7
106,5
107,3
108,3
109,1
110,4
111,2
112,3
113,7
114,3
115,7
116,2
117,4
118,4
119,1
120,5
121,7
122,4
123,7
124,3
125,4
126,1
127,3
128,3
129,7
130,7
131,3
132,7
133,6
134,9
135,7
136,9
137,3
138,5
139,7
140,2
141,6
142,0
143,4
144,7
145,9
146,7
147,7
148,9
149,0
150,7
151,3
152,7
153,5
154,2
155,0
156,9
157,2
158,7
159,9
160,7
161,7
162,7
163,3
164,2
165,5
166,3
167,5
168,2
169,5
170,9
171,4
172,2
173,7
174,2
175,7
176,5
177,3
178,4
179,7
180,9
181,9
182,3
183,4
184,2
185,9
186,4
187,9
188,7
189,4
190,9
191,4
192,7
193,9
194,2
195,3
196,2
197,9
198,9
199,9
200,4
201,5
202,9
203,3
204,9
205,2
206,3
207,9
208,9
209,6
210,4
211,2
212,2
213,3
214,2
215,4
216,9
217,5
218,6
219,3
220,9
221,8
222,7
223,5
224,4
225,2
226,7
227,7
228,4
229,9
230,2
231,2
232,1
233,4
234,4
235,3
236,7
237,9
238,9
239,9
240,7
241,0
242,3
243,8
244,7
245,9
246,7
247,2
248,7
249,7
250,9
251,2
252,1
253,7
254,7
255,7
256,7
257,3
258,1
259,4
260,2
261,9
262,7
263,8
264,3
265,9
266,2
267,2
268,7
269,3
270,4
271,6
272,7
273,6
274,3
275,7
276,4
277,1
278,3
279,7
280,7
281,2
282,7
283,2
284,2
285,7
286,7
287,9
288,7
289,7
290,4
291,7
292,7
293,7
294,7
295,9
296,4
297,7
298,7
299,7
300,4
301,2
302,4
303,7
304,2
305,5
306,0
307,4
308,7
309,4
310,3
311,2
312,3
313,7
314,9
315,0
316,7
317,4
318,3
319,7
320,4
321,4
322,4
323,7
324,4
325,7
326,3
327,7
328,2
329,8
330,4
331,6
332,8
333,1
334,7
335,7
336,7
337,3
338,7
339,2
340,4
341,4
342,4
343,2
344,9
345,1
346,1
347,3
348,7
349,7
350,3
351,9
352,7
353,7
354,4
355,3
356,9
357,7
358,2
359,3
360,7
361,7
362,6
363,7
364,3
365,3
366,9
367,7
368,1
369,2
370,9
371,7
372,8
373,9
374,7
375,9
376,9
377,4
378,7
379,3
380,3
381,5
382,8
383,4
384,0
385,2
386,2
387,4
388,2
389,7
390,3
391,5
392,4
393,2
394,4
395,1
396,1
397,1
398,7
399,9
400,3
401,4
402,9
403,2
404,7
405,7
406,1
407,7
408,3
409,7
410,1
411,2
412,2
413,5
414,1
415,7
416,4
417,2
418,1
419,1
420,5
421,7
422,7
423,2
424,1
425,1
426,1
427,9
